"Time","angle"
38.76,-0.527344
38.764,-0.527344
38.768,-0.527344
38.772,-0.527344
38.776,-0.527344
38.78,-0.527344
38.784,-0.527344
38.788,-0.527344
38.792,-0.527344
38.796,-0.527344
38.8,-0.527344
38.804,-0.351562
38.808,-0.351562
38.812,-0.351562
38.816,-0.351562
38.82,-0.351562
38.824,-0.351562
38.828,-0.351562
38.832,-0.351562
38.836,-0.175781
38.84,-0.175781
38.844,-0.175781
38.848,-0.175781
38.852,-0.175781
38.856,-0.175781
38.86,-0.175781
38.864,-0.175781
38.868,0
38.872,0
38.876,0
38.88,0
38.884,0
38.888,0
38.892,0
38.896,0
38.9,0
38.904,0
38.908,0
38.912,0.175781
38.916,0.175781
38.92,0.175781
38.924,0.175781
38.928,0.175781
38.932,0.175781
38.936,0.175781
38.94,0.175781
38.944,0.175781
38.948,0.351562
38.952,0.351562
38.956,0.351562
38.96,0.351562
38.964,0.351562
38.968,0.351562
38.972,0.351562
38.976,0.351562
38.98,0.351562
38.984,0.351562
38.988,0.351562
38.992,0.351562
38.996,0.351562
39,0.351562
39.004,0.351562
39.008,0.351562
39.012,0.351562
39.016,0.351562
39.02,0.351562
39.024,0.351562
39.028,0.351562
39.032,0.351562
39.036,0.351562
39.04,0.351562
39.044,0.351562
39.048,0.351562
39.052,0.351562
39.056,0.351562
39.06,0.351562
39.064,0.175781
39.068,0.175781
39.072,0.175781
39.076,0.175781
39.08,0.175781
39.084,0.175781
39.088,0.175781
39.092,0.175781
39.096,0.175781
39.1,0.175781
39.104,0.175781
39.108,0
39.112,0
39.116,0
39.12,0
39.124,0
39.128,0
39.132,0
39.136,0
39.14,0
39.144,0
39.148,0
39.152,-0.175781
39.156,-0.175781
39.16,-0.175781
39.164,-0.175781
39.168,-0.175781
39.172,-0.175781
39.176,-0.175781
39.18,-0.175781
39.184,-0.175781
39.188,-0.175781
39.192,-0.351562
39.196,-0.351562
39.2,-0.351562
39.204,-0.351562
39.208,-0.351562
39.212,-0.351562
39.216,-0.351562
39.22,-0.351562
39.224,-0.351562
39.228,-0.351562
39.232,-0.351562
39.236,-0.351562
39.24,-0.351562
39.244,-0.351562
39.248,-0.527344
39.252,-0.527344
39.256,-0.527344
39.26,-0.527344
39.264,-0.527344
39.268,-0.527344
39.272,-0.527344
39.276,-0.527344
39.28,-0.527344
39.284,-0.527344
39.288,-0.527344
39.292,-0.527344
39.296,-0.527344
39.3,-0.527344
39.304,-0.527344
39.308,-0.527344
39.312,-0.527344
39.316,-0.527344
39.32,-0.527344
39.324,-0.527344
39.328,-0.527344
39.332,-0.527344
39.336,-0.527344
39.34,-0.527344
39.344,-0.527344
39.348,-0.351562
39.352,-0.351562
39.356,-0.351562
39.36,-0.351562
39.364,-0.351562
39.368,-0.351562
39.372,-0.351562
39.376,-0.351562
39.38,-0.351562
39.384,-0.351562
39.388,-0.351562
39.392,-0.351562
39.396,-0.175781
39.4,-0.175781
39.404,-0.175781
39.408,-0.175781
39.412,-0.175781
39.416,-0.175781
39.42,-0.175781
39.424,-0.175781
39.428,-0.175781
39.432,-0.175781
39.436,-0.175781
39.44,0
39.444,0
39.448,0
39.452,0
39.456,0
39.46,0
39.464,0
39.468,0
39.472,0
39.476,0
39.48,0.175781
39.484,0.175781
39.488,0.175781
39.492,0.175781
39.496,0.175781
39.5,0.175781
39.504,0.175781
39.508,0.175781
39.512,0.175781
39.516,0.175781
39.52,0.175781
39.524,0.175781
39.528,0.175781
39.532,0.175781
39.536,0.175781
39.54,0.175781
39.544,0.175781
39.548,0.175781
39.552,0.175781
39.556,0.175781
39.56,0.175781
39.564,0.175781
39.568,0.175781
39.572,0.175781
39.576,0.175781
39.58,0.175781
39.584,0.175781
39.588,0.175781
39.592,0.175781
39.596,0.175781
39.6,0.175781
39.604,0.175781
39.608,0.175781
39.612,0.175781
39.616,0.175781
39.62,0.175781
39.624,0.175781
39.628,0.175781
39.632,0.175781
39.636,0.175781
39.64,0.175781
39.644,0.175781
39.648,0.175781
39.652,0.175781
39.656,0.175781
39.66,0.175781
39.664,0.175781
39.668,0.175781
39.672,0
39.676,0
39.68,0
39.684,0
39.688,0
39.692,0
39.696,0
39.7,0
39.704,0
39.708,0
39.712,0
39.716,0
39.72,0
39.724,-0.175781
39.728,-0.175781
39.732,-0.175781
39.736,-0.175781
39.74,-0.175781
39.744,-0.175781
39.748,-0.175781
39.752,-0.175781
39.756,-0.175781
39.76,-0.175781
39.764,-0.175781
39.768,-0.175781
39.772,-0.175781
39.776,-0.351562
39.78,-0.351562
39.784,-0.351562
39.788,-0.351562
39.792,-0.351562
39.796,-0.351562
39.8,-0.351562
39.804,-0.351562
39.808,-0.351562
39.812,-0.351562
39.816,-0.351562
39.82,-0.351562
39.824,-0.351562
39.828,-0.527344
39.832,-0.527344
39.836,-0.527344
39.84,-0.527344
39.844,-0.527344
39.848,-0.527344
39.852,-0.527344
39.856,-0.527344
39.86,-0.527344
39.864,-0.527344
39.868,-0.527344
39.872,-0.527344
39.876,-0.527344
39.88,-0.527344
39.884,-0.527344
39.888,-0.527344
39.892,-0.527344
39.896,-0.527344
39.9,-0.527344
39.904,-0.527344
39.908,-0.527344
39.912,-0.351562
39.916,-0.351562
39.92,-0.351562
39.924,-0.351562
39.928,-0.351562
39.932,-0.351562
39.936,-0.351562
39.94,-0.351562
39.944,-0.351562
39.948,-0.351562
39.952,-0.351562
39.956,-0.351562
39.96,-0.351562
39.964,-0.351562
39.968,-0.175781
39.972,-0.175781
39.976,-0.175781
39.98,-0.175781
39.984,-0.175781
39.988,-0.175781
39.992,-0.175781
39.996,-0.175781
40,-0.175781
40.004,-0.175781
40.008,-0.175781
40.012,-0.175781
40.016,0
40.02,0
40.024,0
40.028,0
40.032,0
40.036,0
40.04,0
40.044,0
40.048,0
40.052,0.175781
40.056,0.175781
40.06,0.175781
40.064,0.175781
40.068,0.175781
40.072,0.175781
40.076,0.175781
40.08,0.175781
40.084,0.175781
40.088,0.175781
40.092,0.175781
40.096,0.175781
40.1,0.175781
40.104,0.175781
40.108,0.175781
40.112,0.175781
40.116,0.175781
40.12,0.175781
40.124,0.175781
40.128,0.175781
40.132,0.175781
40.136,0.175781
40.14,0.351562
40.144,0.351562
40.148,0.351562
40.152,0.351562
40.156,0.351562
40.16,0.351562
40.164,0.351562
40.168,0.351562
40.172,0.351562
40.176,0.351562
40.18,0.351562
40.184,0.175781
40.188,0.175781
40.192,0.175781
40.196,0.175781
40.2,0.175781
40.204,0.175781
40.208,0.175781
40.212,0.175781
40.216,0.175781
40.22,0.175781
40.224,0.175781
40.228,0
40.232,0
40.236,0
40.24,0
40.244,0
40.248,0
40.252,0
40.256,0
40.26,0
40.264,0
40.268,0
40.272,0
40.276,0
40.28,0
40.284,0
40.288,0
40.292,-0.175781
40.296,-0.175781
40.3,-0.175781
40.304,-0.175781
40.308,-0.175781
40.312,-0.175781
40.316,-0.175781
40.32,-0.175781
40.324,-0.175781
40.328,-0.175781
40.332,-0.351562
40.336,-0.351562
40.34,-0.351562
40.344,-0.351562
40.348,-0.351562
40.352,-0.351562
40.356,-0.351562
40.36,-0.351562
40.364,-0.351562
40.368,-0.351562
40.372,-0.351562
40.376,-0.351562
40.38,-0.351562
40.384,-0.351562
40.388,-0.351562
40.392,-0.351562
40.396,-0.351562
40.4,-0.351562
40.404,-0.351562
40.408,-0.351562
40.412,-0.351562
40.416,-0.351562
40.42,-0.351562
40.424,-0.351562
40.428,-0.351562
40.432,-0.351562
40.436,-0.351562
40.44,-0.351562
40.444,-0.351562
40.448,-0.351562
40.452,-0.351562
40.456,-0.351562
40.46,-0.351562
40.464,-0.351562
40.468,-0.351562
40.472,-0.351562
40.476,-0.351562
40.48,-0.351562
40.484,-0.351562
40.488,-0.351562
40.492,-0.351562
40.496,-0.351562
40.5,-0.351562
40.504,-0.351562
40.508,-0.351562
40.512,-0.351562
40.516,-0.351562
40.52,-0.351562
40.524,-0.351562
40.528,-0.351562
40.532,-0.175781
40.536,-0.175781
40.54,-0.175781
40.544,-0.175781
40.548,-0.175781
40.552,-0.175781
40.556,-0.175781
40.56,-0.175781
40.564,-0.175781
40.568,-0.175781
40.572,-0.175781
40.576,-0.175781
40.58,-0.175781
40.584,-0.175781
40.588,-0.175781
40.592,-0.175781
40.596,0
40.6,0
40.604,0
40.608,0
40.612,0
40.616,0
40.62,0
40.624,0
40.628,0
40.632,0
40.636,0
40.64,0
40.644,0
40.648,0
40.652,0.175781
40.656,0.175781
40.66,0.175781
40.664,0.175781
40.668,0.175781
40.672,0.175781
40.676,0.175781
40.68,0.175781
40.684,0.175781
40.688,0.175781
40.692,0.175781
40.696,0.175781
40.7,0.175781
40.704,0.175781
40.708,0.175781
40.712,0.175781
40.716,0.175781
40.72,0.175781
40.724,0.175781
40.728,0.175781
40.732,0.175781
40.736,0.175781
40.74,0.175781
40.744,0.175781
40.748,0.175781
40.752,0.175781
40.756,0.175781
40.76,0.175781
40.764,0.175781
40.768,0.175781
40.772,0.175781
40.776,0.175781
40.78,0.175781
40.784,0.175781
40.788,0.175781
40.792,0.175781
40.796,0
40.8,0
40.804,0
40.808,0
40.812,0
40.816,0
40.82,0
40.824,0
40.828,0
40.832,0
40.836,0
40.84,0
40.844,0
40.848,0
40.852,0
40.856,0
40.86,0
40.864,0
40.868,0
40.872,0
40.876,-0.175781
40.88,-0.175781
40.884,-0.175781
40.888,-0.175781
40.892,-0.175781
40.896,-0.175781
40.9,-0.175781
40.904,-0.175781
40.908,-0.175781
40.912,-0.175781
40.916,-0.175781
40.92,-0.175781
40.924,-0.175781
40.928,-0.175781
40.932,-0.175781
40.936,-0.175781
40.94,-0.175781
40.944,-0.175781
40.948,-0.175781
40.952,-0.175781
40.956,-0.175781
40.96,-0.351562
40.964,-0.351562
40.968,-0.351562
40.972,-0.351562
40.976,-0.351562
40.98,-0.351562
40.984,-0.351562
40.988,-0.351562
40.992,-0.351562
40.996,-0.351562
41,-0.351562
41.004,-0.351562
41.008,-0.351562
41.012,-0.351562
41.016,-0.351562
41.02,-0.351562
41.024,-0.351562
41.028,-0.351562
41.032,-0.351562
41.036,-0.351562
41.04,-0.351562
41.044,-0.351562
41.048,-0.351562
41.052,-0.351562
41.056,-0.351562
41.06,-0.351562
41.064,-0.351562
41.068,-0.351562
41.072,-0.351562
41.076,-0.351562
41.08,-0.351562
41.084,-0.351562
41.088,-0.351562
41.092,-0.351562
41.096,-0.351562
41.1,-0.175781
41.104,-0.175781
41.108,-0.175781
41.112,-0.175781
41.116,-0.175781
41.12,-0.175781
41.124,-0.175781
41.128,-0.175781
41.132,-0.175781
41.136,-0.175781
41.14,-0.175781
41.144,-0.175781
41.148,-0.175781
41.152,-0.175781
41.156,-0.175781
41.16,-0.175781
41.164,-0.175781
41.168,-0.175781
41.172,0
41.176,0
41.18,0
41.184,0
41.188,0
41.192,0
41.196,0
41.2,0
41.204,0
41.208,0
41.212,0
41.216,0
41.22,0
41.224,0
41.228,0
41.232,0
41.236,0
41.24,0
41.244,0
41.248,0
41.252,0
41.256,0
41.26,0
41.264,0
41.268,0
41.272,0
41.276,0
41.28,0
41.284,0
41.288,0
41.292,0
41.296,0
41.3,0
41.304,0
41.308,0
41.312,0
41.316,0
41.32,0
41.324,0
41.328,0
41.332,0
41.336,0
41.34,0
41.344,0
41.348,0
41.352,0
41.356,0
41.36,0
41.364,0
41.368,0
41.372,0
41.376,0
41.38,0
41.384,0
41.388,0
41.392,0
41.396,0
41.4,0
41.404,0
41.408,0
41.412,0
41.416,0
41.42,0
41.424,0
41.428,0
41.432,0
41.436,0
41.44,-0.175781
41.444,-0.175781
41.448,-0.175781
41.452,-0.175781
41.456,-0.175781
41.46,-0.175781
41.464,-0.175781
41.468,-0.175781
41.472,-0.175781
41.476,-0.175781
41.48,-0.175781
41.484,-0.175781
41.488,-0.175781
41.492,-0.175781
41.496,-0.175781
41.5,-0.175781
41.504,-0.175781
41.508,-0.175781
41.512,-0.175781
41.516,-0.175781
41.52,-0.175781
41.524,-0.175781
41.528,-0.175781
41.532,-0.175781
41.536,-0.175781
41.54,-0.175781
41.544,-0.175781
41.548,-0.175781
41.552,-0.175781
41.556,-0.175781
41.56,-0.175781
41.564,-0.175781
41.568,-0.175781
41.572,-0.175781
41.576,-0.175781
41.58,-0.175781
41.584,-0.175781
41.588,-0.175781
41.592,-0.175781
41.596,-0.175781
41.6,-0.175781
41.604,-0.175781
41.608,-0.175781
41.612,-0.175781
41.616,-0.175781
41.62,-0.175781
